LOCALITA,DATA,TMEDIA °C,TMIN °C,TMAX °C,PUNTORUGIADA °C,UMIDITA %,VISIBILITA km,VENTOMEDIA km/h,VENTOMAX km/h,RAFFICA km/h,PRESSIONESLM mb,PRESSIONEMEDIA mb,PIOGGIA mm,FENOMENI
Bologna,01/05/2025,20,13,27,9,52,20,0,0,0,1019,0,0,
Bologna,02/05/2025,22,15,29,11,53,20,0,0,0,1018,0,0,
Bologna,03/05/2025,22,16,29,9,44,22,0,0,0,1015,0,0,
Bologna,04/05/2025,21,14,27,11,54,19,0,0,0,1008,0,0,pioggia 
Bologna,05/05/2025,20,15,23,13,64,20,0,0,0,1003,0,0,pioggia 
Bologna,06/05/2025,16,13,22,13,80,16,0,0,0,1007,0,0,pioggia temporale 
Bologna,07/05/2025,14,11,20,10,78,18,0,0,0,1011,0,0,pioggia temporale 
Bologna,08/05/2025,14,9,20,10,75,20,0,0,0,1010,0,0,pioggia 
Bologna,09/05/2025,15,11,20,11,78,21,0,0,0,1014,0,0,pioggia 
Bologna,10/05/2025,17,12,22,12,74,20,0,0,0,1018,0,0,
Bologna,11/05/2025,18,12,25,11,65,20,0,0,0,1014,0,0,
Bologna,12/05/2025,18,13,25,11,63,21,0,0,0,1011,0,0,
Bologna,13/05/2025,18,14,22,13,74,17,0,0,0,1014,0,0,
Bologna,14/05/2025,18,12,24,9,60,20,0,0,0,1015,0,0,
Bologna,15/05/2025,20,13,26,10,57,20,0,0,0,1009,0,0,pioggia 
Bologna,16/05/2025,16,11,20,7,62,17,0,0,0,1012,0,0,pioggia temporale 
Bologna,17/05/2025,18,12,22,5,45,20,0,0,0,1013,0,0,
Bologna,18/05/2025,19,13,25,8,49,22,0,11,0,1014,0,0,
Bologna,19/05/2025,21,13,27,11,54,19,0,0,0,1016,0,0,
Bologna,20/05/2025,18,15,22,12,68,20,0,0,0,1015,0,0,pioggia 
Bologna,21/05/2025,18,15,23,14,81,17,0,0,0,1012,0,0,pioggia 
Bologna,22/05/2025,19,15,22,11,62,21,0,0,0,1007,0,0,pioggia 
Bologna,23/05/2025,15,12,19,10,71,19,0,0,0,1011,0,0,pioggia 
Bologna,24/05/2025,16,9,21,7,60,20,0,0,0,1016,0,0,
Bologna,25/05/2025,18,12,24,8,53,21,0,0,0,1016,0,0,
Bologna,26/05/2025,21,15,27,12,58,22,0,0,0,1015,0,0,
Bologna,27/05/2025,17,13,21,14,80,17,0,0,0,1017,0,0,pioggia 
Bologna,28/05/2025,20,13,27,13,67,20,0,0,0,1017,0,0,
Bologna,29/05/2025,23,16,29,12,55,21,0,0,0,1016,0,0,
Bologna,30/05/2025,23,15,29,11,51,19,0,0,0,1020,0,0,
Bologna,31/05/2025,23,15,30,14,58,20,0,0,0,1020,0,0,
